Industry,type,ISIN,Air Quality,Climate Exposure,Ecological Impact,Energy Management,Environmental Supply Chain Management,GHG Emissions Management,Sustainable Finance,Sustainable Product,Waste Management,Water Management,Access & Affordability,Community Rights & Relations,Customer Welfare,Data Security & Customer Privacy,Ethics & Compliance,Labor & Employment Practices,Marketing & Labeling,Occupational Health & Safety Management,Operational Risk Management,Product Quality Management,Social Supply Chain Management,Board Composition,Executive Compensation,Shareholder Rights,Audit,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,GLOBAL SCORE
Semiconductors,Governance,US7013543001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30988162052,1.0070076369599998,0.9823933411199999,1.46434356688,0.0,0.0,1.4290878496439998,1.4916449944199999
Semiconductors,Environmental,US71360T2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5191370754160003
Semiconductors,Social,US71360T2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5700000000000001,0.0,0.0,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495,0.0,2.5191370754160003
Semiconductors,Governance,US71360T2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74226495752,1.62613597872,1.85773189536,1.52099075312,0.0,0.0,2.024137075416,2.5191370754160003
Semiconductors,Environmental,TW0008299009,0.0,0.0,0.0,1.3835539340999998,0.0,0.9398282813400001,0.0,0.48,0.8998973846499999,2.3888401509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4368479003959997,0.0,0.0,5.642561275552
Semiconductors,Social,TW0008299009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,1.9,1.13148780816,0.0,1.08,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,1.5574463424479998,0.0,5.642561275552
Semiconductors,Governance,TW0008299009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.80983688372,1.0952824401599999,1.77066364296,0.8184404755200001,0.0,0.0,1.648267032708,5.642561275552
Semiconductors,Environmental,US7194051022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73353082276
Semiconductors,Social,US7194051022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5700000000000001,0.0,0.0,1.08,0.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.8190000000000001,0.0,2.73353082276
Semiconductors,Governance,US7194051022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.77190692912,1.78466594688,1.39175949096,1.43343704224,0.0,0.0,1.91453082276,2.73353082276
Semiconductors,Environmental,CNE100005998,0.0,0.0,0.0,1.6490841867000001,0.0,0.21643968944,0.0,0.0,0.60580026155,1.4567938328999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.571247188236,0.0,0.0,3.362444272276
