Industry,type,ISIN,Access & Affordability,Community Rights & Relations,Customer Welfare,Data Security & Customer Privacy,Ethics & Compliance,Labor & Employment Practices,Marketing & Labeling,Occupational Health & Safety Management,Operational Risk Management,Product Quality Management,Social Supply Chain Management,SOCIAL SCORE,Mean Social,Access & Affordability Classification,Community Rights & Relations Classification,Customer Welfare Classification,Data Security & Customer Privacy Classification,Ethics & Compliance Classification,Labor & Employment Practices Classification,Marketing & Labeling Classification,Occupational Health & Safety Management Classification,Operational Risk Management Classification,Product Quality Management Classification,Social Supply Chain Management Classification
Semiconductors,Social,TW0006533003,,0.0,,,0.0,0.0,,3.0,,0.0,,1.08,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0006138001,,0.0,,,1.097493768,0.0,,10.0,,3.0,,4.5885238159199995,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,JP3105280006,,10.0,,,0.0,0.0,,0.0,,3.0,,1.08,3.101456684647021,NaN,Leading,NaN,NaN,Below Median,Leading,NaN,Below Median,NaN,Above Median,NaN
Semiconductors,Social,TW0006531007,,0.0,,,1.097493768,0.0,,3.0,,0.0,,1.28852381592,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Leading,NaN
Semiconductors,Social,TW0008271008,,10.0,,,3.0,1.579926848,,3.0,,3.0,,2.9827882956800007,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Above Median,NaN,Leading,NaN,Above Median,NaN
Semiconductors,Social,TW0006449002,,0.0,,,0.0,0.0,,3.0,,3.0,,1.86,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Above Median,NaN
Semiconductors,Social,US0382221051,,10.0,,,3.0,2.601724863,,7.392361641,,3.0,,4.72752616884,3.101456684647021,NaN,Leading,NaN,NaN,Leading,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,TW0003264008,,10.0,,,7.949489594,0.734862089,,10.0,,9.215685844,,7.9240592765399995,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,NO0010946593,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Below Median,NaN,Leading,NaN
Semiconductors,Social,US04302A1043,,0.0,,,3.0,0.0,,0.0,,0.0,,0.5700000000000001,3.101456684647021,NaN,Below Median,NaN,NaN,Leading,Leading,NaN,Below Median,NaN,Leading,NaN
Semiconductors,Social,TW0003711008,,10.0,,,7.949489594,5.125360966,,6.307481289,,3.0,,5.68115404146,3.101456684647021,NaN,Leading,NaN,NaN,Above Median,Above Median,NaN,Above Median,NaN,Above Median,NaN
Semiconductors,Social,TW0003169009,,0.0,,,0.0,0.0,,3.0,,0.0,,1.08,3.101456684647021,NaN,Below Median,NaN,NaN,Below Median,Leading,NaN,Leading,NaN,Leading,NaN
