ISIN,Industry,ESG SCORE,ENVIRONMENTAL SCORE,SOCIAL SCORE,GOVERNANCE SCORE,ESG Score Range,Mean ESG,ESG Classification,E Classification,S Classification,G Classification
KR7017900002,Semiconductors,2.2781431688879996,0.0,3.6385241316,3.9552864313599994,2-3,3.7648174326937798,Below Median,Below Median,Above Median,Below Median
US0545402085,Semiconductors,4.850132457768,4.50044182776,2.67377311712,7.49274597176,4-5,3.7648174326937798,Above Median,Above Median,Leading,Above Median
JP3108080007,Semiconductors,1.8963868643159998,0.0,1.28852381592,5.0327657318,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US00246W1036,Semiconductors,2.007445583868,0.0,0.20852381592000002,6.48296146364,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
NL0012866412,Semiconductors,6.830485424040001,6.7769843863500006,7.28285459516,6.44945096984,6-7,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
TW0003031001,Semiconductors,2.948809585376,2.11943365838,2.06852381592,4.93492992416,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
US11135F1012,Semiconductors,5.230284255852,5.46756810648,2.9264489745600004,7.21774106964,5-6,3.7648174326937798,Above Median,Above Median,Leading,Above Median
CNE100001XM0,Semiconductors,2.339309065188,1.27451147883,1.08,5.01834824552,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
DE000A1TNMM9,Semiconductors,1.1119198236119998,0.0,0.5700000000000001,3.13639941204,1-2,3.7648174326937798,Below Median,Below Median,Below Median,Below Median
US1572101053,Semiconductors,2.54863994976,0.0,1.6500000000000001,6.8454664992,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0003257002,Semiconductors,3.345665622168,2.15682160233,3.94594121932,4.3305153848,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Below Median
TW0008070004,Semiconductors,3.309459633616,1.51929501544,4.5885238159199995,4.417281608880001,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Below Median
TW0006548001,Semiconductors,4.125182628121999,2.9607704626699998,5.64356864918,4.159346160999999,4-5,3.7648174326937798,Leading,Leading,Above Median,Below Median
TW0001597003,Semiconductors,3.421408932324,1.86019695753,3.8085238159199997,5.11591001512,3-4,3.7648174326937798,Below Median,Below Median,Above Median,Leading
CNE100003S06,Semiconductors,2.7853578123240004,2.71629472578,1.9500000000000002,3.7127997400400004,2-3,3.7648174326937798,Below Median,Leading,Below Median,Below Median
TW0008084005,Semiconductors,2.885993204519999,0.04451147883,3.5999999999999996,5.960628709959999,2-3,3.7648174326937798,Below Median,Below Median,Above Median,Above Median
TW0006147002,Semiconductors,4.531087137754,3.50477654587,5.380791320819999,5.049797077199999,4-5,3.7648174326937798,Above Median,Above Median,Above Median,Leading
TW0008150004,Semiconductors,5.425682393172,3.9576638103299997,6.99251949312,5.816203403679999,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
US1727551004,Semiconductors,5.686545721153999,3.4154715919400003,6.85684993758,7.54434034368,5-6,3.7648174326937798,Above Median,Leading,Above Median,Above Median
GB0001602944,Semiconductors,3.293606900828,2.8140545152999996,2.0254255188,5.20119146356,3-4,3.7648174326937798,Below Median,Leading,Below Median,Leading
US19247G1076,Semiconductors,4.511579650768,4.31036956294,2.387025528,6.904413890639999,4-5,3.7648174326937798,Above Median,Above Median,Below Median,Above Median
US1925761066,Semiconductors,5.670374414552,5.343913960729999,5.68594121932,6.09008821488,5-6,3.7648174326937798,Above Median,Above Median,Above Median,Above Median
KYG234201138,Semiconductors,3.1850722241160003,2.34092854374,1.923511591,5.5721577644,3-4,3.7648174326937798,Below Median,Below Median,Below Median,Above Median
TW0002466000,Semiconductors,2.98236120318,2.3723780091299997,1.28852381592,5.48950951584,2-3,3.7648174326937798,Below Median,Below Median,Below Median,Leading
