Isin,Year,EG017,EG018,EG030,IS010
TW0003450003,2013,0.201,45.123,0.964,5559.865
TW0003006003,2013,0.146,2.694,1.179,6802.908
DE0005677108,2013,3.418,3.357,1.293,189.072
TW0003529004,2013,0.027,1.999,0.14,808.258
TW0003714002,2013,21.869,137.462,3.854,22241.387
US29362U1043,2013,22.578,94.748,59.352,693.459
KR7039030002,2013,0.256,2.126,18.166,232154.3609
TW0003016002,2013,0.673,2.964,2.373,823.454
TW0005351001,2013,0.095,3.495,1.161,6697.773
KR7084370006,2013,0.005,8.737,8.324,106381.051
TW0002393006,2013,1.147,72.448,4.285,24725.947
TW0006288004,2013,3.126,3.183,0.298,1718.185
TW0003035002,2013,0.068,3.44,1.204,6946.007
TW0004961008,2013,1.888,0.612,0.652,3762.624
TW0003545000,2013,0.005,1.726,1.622,9362.444
US3463751087,2013,7.195,11.997,19.816,231.533
TW0008131004,2013,1.226,96.974,25.827,8961.086
TW0003532008,2013,5.035,228.202,28.425,9862.583
TW0003413001,2013,0.115,37.634,0.428,2468.753
CNE100004PM0,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG3790U1040,2013,0.003,30.298,6.331,2196.731
TW0004952007,2013,0.047,0.894,0.55,3175.203
CNE1000030S9,2013,0.062,5.844,0.66,788.8084076
TW0008081001,2013,0.054,1.026,0.675,3896.509
TW0003443008,2013,0.147,4.173,17.802,6176.741
TW0006488000,2013,7.792,513.063,44.874,15569.575
KYG393871085,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003188009,2013,0.425,0.141,0.054,313.58
TW0002441003,2013,1.204,85.19,26.494,9192.401
CNE000000YF5,2013,8.361,50.315,30.268,2174.113959
US36241U1060,2013,1.289,0.815,0.34,66.014
JP3771800004,2013,12.696,49.324,5.705,102156
CNE100002Q09,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100004314,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000001DN1,2013,10.084,23.304,1.362,1626.899369
KR7042700005,2013,3.502,25.84,14.988,191549.5508
TW0006168008,2013,1.259,10.26,0.81,4671.241
DE000HAG0005,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006202005,2013,0.04,1.32,0.675,3894.361
CNE100002V10,2013,22.196,127.058,38.421,2759.767919
HK0000218211,2013,12.319,430.755,50.045,584.719
TW0002486008,2013,4.295,34.356,19.254,6680.359
TW0008040007,2013,0.014,0.409,0.111,639.728
US4532041096,2013,0.065,0.418,0.286,55.491
MYQ0166OO007,2013,0.161,30.354,6.697,241.14
CH0011029946,2013,0.549,1.568,25.076,292.983
DE0006231004,2013,187.211,552.675,497.889,3843
CNE100001377,2013,0.634,0.61,0.079,94.23448704
US45817G2012,2013,0.269,0.264,0.038,7.298537
JP3152720003,2013,0.399,0.77,1.517,1516.027
US4611471008,2013,0.726,2.231,3.375,39.426
US44980X1090,2013,11.003,38.817,3.335,648.034
GB0009619924,2013,5.015,21.816,16.978,126.774
TW0003014007,2013,0.434,1.717,0.617,3561.112
JP3735300000,2013,2.154,6.247,11.608,11213
JP3389680004,2013,0.169,0.969,8.83,8529.507
CNE000001F05,2013,26.11,575.297,4.265,5095.4674
CNE000000N97,2013,3.308,6.286,0.309,369.1060563
TW0005285001,2013,0.06,4.548,7.224,2506.6
CNE0000017L3,2013,382.091,18.379,1.038,1239.595425
TW0006552003,2013,0.148,12.386,0.265,1526.462
TW0002375003,2013,0.95,0.783,0.303,1750.742
JP3281610000,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002449006,2013,1.923,179.374,0,14694.477
US5012421013,2013,0.489,13.435,45.784,534.938
JP3979200007,2013,0.017,3.017,11.226,11397.278
TW0003346003,2013,0.028,1.316,0.3,1733.73
US5184151042,2013,0.353,2.163,1.711,332.525
TW0003588000,2013,0.783,0.455,0.184,1061.958
KR7058470006,2013,1.507,10.732,6.31,80639.505
TW0002472008,2013,0.393,36.58,0.99,5710.586
TW0002369006,2013,1.799,60.626,17.43,6047.661
TW0004979000,2013,0.036,4.94,0.373,2150.962
US55405Y1001,2013,9.353,11.627,1.663,323.071
TW0002337003,2013,199,263,3.848,22204.42
US55933J2033,2013,20.095,22.774,3.778,734.177
MYL3867OO008,2013,0.005,0.263,2.048,1226.284
US5738741041,2013,6.848,26.99,16.307,3168.63
US57776J1007,2013,1.933,1.565,0.616,119.646
CNE100003QK4,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003527008,2013,0.062,1.367,0.373,2154.761
TW0002454006,2013,0.363,25.172,23.578,136055.954
JP3920860008,2013,7.778,4.94,3.338,53623.174
BE0165385973,2013,0.563,13.207,1.882,275.352454
JP3750400008,2013,3.286,12.038,18.934,20387
JP3910570005,2013,2.696,11.223,12.305,11613.507
TW0002464005,2013,154.566,330.388,1.142,6591.869
US55306N1046,2013,2.17,22.723,57.294,669.42
CNE100001X19,2013,15.38,34.271,2.393,2858.845396
CNE100003MN7,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002434008,2013,0.193,5.942,0.082,474.806
DE0006627201,2013,5.791,9.016,22.672,199.410558
SE0000375115,2013,0.986,2.296,13.101,996.988
US63010N1054,2013,0.336,0.326,0.047,9.075348
TW0002408002,2013,46.795,212.952,7.837,45224.061
CNE1000040F5,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100000ML7,2013,3.956,26.21,11.908,855.3472628
US64118P1093,2013,0.686,0.767,0.119,23.048
TW0003317004,2013,1.364,1.215,0.434,2503.544
JP3686200001,2013,3.381,6.109,1.603,25754
JP3725200004,2013,4.525,13.148,0.977,18505
JP3701200002,2013,44.607,401.23,5.786,92959
NO0003055501,2013,0.008,1.061,0.642,124.745
IL0010845571,2013,16.394,2.788,9.544,111.509
TW0003034005,2013,0.442,8.976,7.183,41449.654
TW0004919006,2013,28.2,43.3,1.18,6809.449
US6294452064,2013,0.631,0.334,0.139,27.033419
JP3193600008,2013,3.489,7.029,0.705,11326.02
US6833441057,2013,3.165,4.812,12.351,144.307
TW0002329000,2013,1.06,80.881,1.656,9553.023
JP3200400004,2013,6.538,13.584,40.9,39507.03
DE000LED4000,2013,247.597,399.101,35.715,5288.7
US68989M2026,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002481009,2013,1.282,23.052,2.378,13719.574
US7013543001,2013,0,0,0,0
US71360T2006,2013,0.085,0.072,0.023,4.398
TW0008299009,2013,0.427,3.787,0.016,31396.516
US7194051022,2013,25.703,33.305,2.173,422.18
CNE100005998,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US72581M3051,2013,0.876,1.19,0.248,48.118
US7392761034,2013,6.518,10.001,1.786,347.089
TW0006770001,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006239007,2013,6.84,335.16,108.383,37604.981
TW0006173008,2013,0.964,18.431,0.369,2131.982
DE0007461006,2013,0.387,2.219,7.285,64.075
US74837P4054,2013,0.519,0.305,0.134,26.072
US7509171069,2013,1.993,1.199,1.397,271.501
TW0002379005,2013,0.761,22.056,4.884,28180.01
TW0002302007,2013,0.903,2.604,0.108,624.596
JP3164720009,2013,245.774,875.225,48.912,785764
US7631651079,2013,2.286,3.762,12.074,141.066
TW0004968003,2013,0.033,0.395,0.193,1112.512
TW0008104001,2013,0.002,3.134,0.115,665.995215
ES0105225009,2013,0.06,0.039,0.011,1.60328117
CNE100003RK2,2013,3.649,4.615,20.094,1443.3246
JP3982800009,2013,151.507,508.197,18.202,292410
JP3982200002,2013,1.645,6.666,9.794,9359.426
JP3976200000,2013,0.62,0.883,12.682,203730
JP3975410006,2013,0.145,2.221,12.856,#N/A N/A
JP3322950001,2013,1.009,3.72,4.057,4201.393
CNE000000KB3,2013,50.652,91.41,3.115,3720.79247
JP3329600005,2013,63.806,113.966,7.867,126386
DE0005156236,2013,4.571,3.963,11.507,101.211368
TW0003583001,2013,0.677,9.436,8.841,3067.64
JP3494600004,2013,13.702,35.506,196.619,189923
TW0002351004,2013,1.01,27.004,26.108,9058.548
JP3418400002,2013,5.939,5.917,1.162,18661.658
US8168501018,2013,1.012,8.501,2.979,578.827
CH0406705126,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7046890000,2013,49.891,56.288,4.856,1032067.688
US8173232070,2013,0.331,0.135,0.071,13.712
CNE100002NT4,2013,1.19,0.993,0.207,247.7407877
CNE000000XB6,2013,2.516,4.167,0.49,584.8728765
CNE100000510,2013,0.179,6.083,0.684,816.931
CNE100002G84,2013,3.241,1.462,0.567,676.8818331
CNE100000Q50,2013,11.212,9.455,5.654,6754.249533
JP3355000005,2013,0.615,5.309,31.471,30399
JP3371600002,2013,3.417,66.835,89.87,60669
JP3375800004,2013,31.252,94.917,3.415,127241
KYG811801045,2013,2.195,7.335,10.707,3715.01
TW0006257009,2013,0.202,57.375,15.1,5239.226
TW0002363009,2013,0.674,2.161,0.078,450.746
US8269191024,2013,0.146,3.228,2.985,580.087
US82706C1080,2013,3.295,2.244,1.159,225.308
TW0003530002,2013,0.003,0.064,0.037,212.65
TW0003288007,2013,0.543,0.163,0.063,363.605
DE000WAF3001,2013,7.774,244.15,84.474,743
TW0005483002,2013,14.684,555.369,64.028,22215.367
US82982T1060,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008016007,2013,0.088,2.148,1.098,6337.663
KR7000660001,2013,1351.45,2568.82,66.645,14165102
JP3162640001,2013,4.643,11.73,1.008,18054.975
US83089J1088,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG8232Y1017,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG8020E1199,2013,321.009,801.033,177.078,2068.964
DE0005178008,2013,1.386,0.67,0.359,52.55
FR0013227113,2013,3.485,3.091,28.978,262.863
TW0005471007,2013,0.005,0.856,0.631,3642.339
TW0003055000,2013,0.004,2.423,8.029,2785.793
CNE100003RN6,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
NL0000226223,2013,554,815,108,8082
DE000A1K0235,2013,1.104,2.6,15.293,134.508
JP3322930003,2013,21.569,1454.677,219.002,206691
TW0002401007,2013,5.654,14.071,1.477,8521.868
CNE000001P60,2013,3.953,6.018,0.682,814.1563581
US87157D1090,2013,0.055,4.259,3.415,663.588
TW0001582005,2013,0.059,0.362,1.572,9071.513
TW0002338001,2013,0.121,11.221,5.075,1761.007
TW0006278005,2013,0.495,17.449,7.148,41245.336
TW0002340007,2013,1.974,34.91,1.108,6391.594
JP3468000009,2013,1.271,4.194,6.109,6959.379
TW0004967005,2013,0.032,1.001,0.961,5545.867
IT0005482333,2013,#N/A N/A,#N/A N/A,#N/A N/A,23.911322
TW0003030003,2013,2.494,15.635,11.77,4083.86
CNE100000825,2013,12.38,77.621,33.994,2441.741268
KR7064760002,2013,0.771,5,2.743,35055.732
JP3571400005,2013,8.443,132.269,60,497299
JP3571800006,2013,8.828,18.078,3.13,72919
JP3580200008,2013,8.32,43.984,52.812,51013.868
TW0006271000,2013,0.939,51.197,22.854,7929.44
CNE1000006C3,2013,9.231,59.675,24.604,1767.310432
TW0008021007,2013,0.161,11.207,7.306,2534.972
JP3637280003,2013,34.977,23.611,0.535,8600.216
JP3555700008,2013,2.996,12.401,17.034,16454.103
IL0010823792,2013,374.6,121.915,43.223,505.009
TW0002451002,2013,0.068,4.52,4.527,26122.39
TW0002330008,2013,1714.05,3347.93,1720.71,597024.197
TW0002426004,2013,8.244,15.104,0.718,4141.147
CH0033361673,2013,0.254,1.072,1.221,219.813
US90385V1070,2013,5.62,5.906,38.003,444.022
JP3126190002,2013,5.378,77.353,160.891,163351
TW0002303005,2013,587.11,1162.22,48.7,123811.636
TW0008277005,2013,1.203,1.223,0.269,1553.305
CNE000001M14,2013,4.442,6.148,0.765,913.499206
KR7077500007,2013,2.722,2.855,0.994,211216.575
MYL5005OO003,2013,1.323,99.273,26.934,990.554
US91347P1057,2013,0.477,6.856,0.755,146.639
JP3829900004,2013,0.621,1.74,3.791,3662
TW0005347009,2013,153.563,369.109,60.914,21135.06
US9224171002,2013,2.434,7.109,28.394,331.749
CNE100004413,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002388006,2013,0.01,2.022,1.054,6084.793
TW0006789001,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US9282981086,2013,171.288,182.375,12.202,2370.979
US92835K1034,2013,4.142,3.301,1.237,240.275
TW0002455003,2013,0.483,10.443,6.198,2150.393
TW0006182009,2013,6.827,56.737,15.697,5446.289
TW0008110008,2013,0.39,94.496,25.566,8870.585
TW0002436003,2013,1.284,0.909,0.318,1832.917
CNE100002XM8,2013,0.219,15.634,0.955,1140.27513
TW0003105003,2013,35.825,67.818,30.209,10481.303
TW0002344009,2013,39.659,163.609,5.742,33135.448
JP3154370005,2013,0.05,0.017,0.008,135.151
US9778521024,2013,171.109,175.198,7.133,1385.982
KR7030530000,2013,7.578,58.481,33.101,423025.269
KR7240810002,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BE0974310428,2013,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3990600003,2013,2.664,7.875,15.579,15048.656
CNE100001R90,2013,4.271,63.953,0.442,527.6722316
CNE100001DJ8,2013,0.716,3.482,2.403,172.5852972
US0079031078,2014,55.121,145.832,5132.21,5506
US0326541051,2014,51.55,84.69,6.562,2864.773
US0382221051,2014,35.92,141.212,20.275,9072
US11135F1012,2014,101.554,193.516,21.969,4269
US29355A1079,2014,0.01,10.087,79.458,343.904
US3364331070,2014,10.593,320.302,42.208,3391.187
US4581401001,2014,1041,2339,1433,55870
US4824801009,2014,3.923,50.931,250.722,2929.408
US5128071082,2014,19.578,43.764,394.33,4607.309
US5950171042,2014,132.66,169.666,9.939,1931.217
US5951121038,2014,1306.323,1734.892,84.182,16358
US6098391054,2014,0.062,4.704,1.454,282.535
US67066G1040,2014,2.743,48.75,41.711,4130
NL0009538784,2014,811.243,1043.35,51.028,5647
US6821891057,2014,1230.817,515.091,16.271,3161.8
US74736K1016,2014,186.921,210.925,5.909,1148.231
US7475251036,2014,67.793,114.811,136.308,26487
US83088M1027,2014,39.068,149.659,11.793,2291.5
US8807701029,2014,3.699,23.455,141.034,1647.824
US8825081040,2014,1056,1344,67.133,13045
CNE100004ZD8,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US00108J1097,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003438008,2014,0.849,1.314,0.18,1057.934
CNE100003MM9,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003437000,2014,0.392,11.772,1.207,7114.256
TW0008261009,2014,0.025,0.508,0.35,2061.113
JP3122400009,2014,3.362,31.358,95.59,111878
DE000A0WMPJ6,2014,0.2,4.986,22.035,193.797
KYG022421088,2014,0.017,0.321,0.796,4691.741
TW0003041000,2014,2.302,2.406,0.789,4647.395
CNE100001ZN3,2014,3.593,2.419,1.035,1238.797928
US01749D1054,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
BMG6331P1041,2014,8.174,13.338,1.637,318.121
GB00BNDRMJ14,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG037AX1015,2014,2.505,1.878,0.811,157.608
US0316521006,2014,60.392,810.184,267.842,3129.44
CNE100003LZ3,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002493004,2014,1.527,3.097,6.659,2359.316
AT0000A18XM4,2014,18.944,9.203,3.175,464.37
US0323325045,2014,1.189,1.4,4.836,56.501
TW0006291008,2014,0.387,0.197,0.049,290.701
TW0006533003,2014,0.144,0.121,0.032,190.425
TW0006138001,2014,0.004,1.118,0.592,3486.008
JP3105280006,2014,7.478,18.574,1.866,36320.395
TW0006531007,2014,0.022,0.223,0.412,2427.313
TW0008271008,2014,0.009,1.706,1.734,10218.111
TW0006449002,2014,1.265,2.416,0.254,1497.48
TW0003264008,2014,0.298,49.856,16.466,5833.999
NO0010946593,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US04302A1043,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003711008,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003169009,2014,0.394,0.253,0.08,469.594
NL0000334118,2014,0.367,17.189,62.035,545.604
TW0005269005,2014,0.002,0.573,0.259,1523.927
NL0010273215,2014,19.1,151.059,665.862,5856.277
KYG0535Q1331,2014,3.325,134.426,157.046,14229.177
TW0005274005,2014,0.014,0.268,0.145,855.912
US04965B1008,2014,0,0,0,0
KR7017900002,2014,5.295,18.366,1.152,235622.682
US0545402085,2014,3.148,5.158,17.379,203.051
JP3108080007,2014,2.483,1.102,0.567,11043
US00246W1036,2014,2.062,3.397,7.147,83.499
NL0012866412,2014,0.217,8.052,43.07,378.797
TW0003031001,2014,1.947,6.994,0.416,2451.009
CNE100001XM0,2014,1.872,1.824,0.324,388.0886322
DE000A1TNMM9,2014,4.713,5.711,21.511,189.193
US1572101053,2014,0.719,0.736,0.261,50.808
TW0003257002,2014,0.815,1.357,0.17,1004.64
TW0008070004,2014,9.093,13.542,2.946,17361.628
TW0006548001,2014,0.291,5.634,0.067,393.939
TW0001597003,2014,4.051,2.52,0.173,1016.92
CNE100003S06,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008084005,2014,1.17,0.998,0.361,2128.403
TW0006147002,2014,1.334,90.739,49.91,17683.055
TW0008150004,2014,0.996,179.56,62.109,22005.131
US1727551004,2014,0.501,8.077,3.676,714.338
GB0001602944,2014,0.154,0.591,0.2,24.393659
US19247G1076,2014,33.148,194.846,3.516,683.261
US1925761066,2014,1.15,9.791,28.528,333.323
KYG234201138,2014,0.093,1.637,12.594,906.62
TW0002466000,2014,20.601,1.747,9.055,1272.684
MYL7204OO000,2014,0.031,17.258,11.025,421.324
JP3487600003,2014,4.252,4.667,31.364,38702.579
CNE000000X87,2014,15.218,19.174,6.639,7947.778891
TW0003094009,2014,0.016,0.349,0.055,322.333
KR7000990002,2014,125.743,159.48,46.182,567718.224
US2545431015,2014,25.411,39.441,4.583,890.651
JP3548600000,2014,3.688,36.731,89.645,104920
CNE100001RT7,2014,0.262,7.57,1.638,1960.722389
TW0003048005,2014,18.877,17.75,172.206,61012.033
TW0002458007,2014,0.103,2.768,1.304,7686.322
TW0003450003,2014,0.238,51.035,1.155,6805.14
TW0003006003,2014,0.167,3.409,1.662,9793.761
DE0005677108,2014,3.515,3.3,1.432,209.517
TW0003529004,2014,0.034,2.291,0.17,1003.977
TW0003714002,2014,24.863,148.699,4.703,27713.156
US29362U1043,2014,22.739,96.969,82.342,962.069
KR7039030002,2014,0.256,2.018,24.551,301810.5445
TW0003016002,2014,0.724,3.325,2.488,881.528
TW0005351001,2014,0.098,3.585,1.291,7609.254
KR7084370006,2014,0.005,7.568,6.376,78376.293
TW0002393006,2014,0.933,70.393,5.188,30569.45
TW0006288004,2014,3.199,3.43,0.341,2011.195
TW0003035002,2014,0.06,3.566,0.974,5741.781
TW0004961008,2014,2.552,0.695,0.893,5264.797
TW0003545000,2014,0.005,2,0.768,4522.834
US3463751087,2014,6.573,12.321,22.983,268.53
TW0008131004,2014,12.782,88.106,25.979,9204.384
TW0003532008,2014,5.22,229.055,31.462,11147.014
TW0003413001,2014,0.128,51.254,0.781,4602.925
CNE100004PM0,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG3790U1040,2014,0.004,29.766,7.632,2704.052
TW0004952007,2014,0.059,0.809,0.483,2847.345
CNE1000030S9,2014,0.059,5.617,0.789,944.5430903
TW0008081001,2014,0.054,1.186,0.669,3941.557
TW0003443008,2014,0.167,4.058,19.623,6952.281
TW0006488000,2014,6.262,531.771,44.939,15921.691
KYG393871085,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003188009,2014,0.334,0.158,0.043,252.78
TW0002441003,2014,1.176,93.26,29.164,10332.739
CNE000000YF5,2014,5.786,8.16,32.862,2365.58618
US36241U1060,2014,1.177,0.832,0.301,58.579
JP3771800004,2014,13.351,48.958,5.638,112092
CNE100002Q09,2014,0.369,1.155,1.077,77.53864604
CNE100004314,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000001DN1,2014,10.856,25.251,1.553,1859.232137
KR7042700005,2014,3.586,15.463,15.644,192309.6392
TW0006168008,2014,1.476,10.204,0.925,5448.553
DE000HAG0005,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006202005,2014,0.041,1.232,0.667,3930.519
CNE100002V10,2014,24.07,148.199,43.493,3130.890742
HK0000218211,2014,11.374,447.012,56.881,664.586
TW0002486008,2014,4.463,39.479,19.987,7081.245
TW0008040007,2014,0.013,0.402,0.113,665.796
US4532041096,2014,0.071,0.338,0.328,63.763
MYQ0166OO007,2014,0.157,48.433,20.938,793.655
CH0011029946,2014,0.544,1.585,26.145,305.467
DE0006231004,2014,193.884,505.246,703.256,4320
CNE100001377,2014,0.343,0.355,0.049,58.09605416
US45817G2012,2014,0.214,0.265,0.034,6.613056
JP3152720003,2014,0.539,1.291,2.137,2512.38
US4611471008,2014,0.742,2.379,3.578,41.796
US44980X1090,2014,11.205,40.33,3.962,769.832
GB0009619924,2014,4.879,21.174,15.794,112.011
TW0003014007,2014,0.47,1.708,0.584,3440.965
JP3735300000,2014,1.56,4.549,8.372,9799
JP3389680004,2014,0.156,0.983,7.941,9294.349
CNE000001F05,2014,23.946,612.95,5.363,6421.095039
CNE000000N97,2014,5.903,11.232,0.593,709.8585553
TW0005285001,2014,0.053,4.462,7.173,2541.507
CNE0000017L3,2014,384.036,18.673,1.023,1225.052642
TW0006552003,2014,0.123,10.387,0.214,1261.378
TW0002375003,2014,0.867,0.722,0.277,1632.311
JP3281610000,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002449006,2014,6.114,190.712,0,16277.769
US5012421013,2014,0.52,13.505,48.663,568.569
JP3979200007,2014,0.017,2.962,11.529,13607.129
TW0003346003,2014,0.03,1.391,0.337,1987.643
US5184151042,2014,0.381,2.167,1.884,366.127
TW0003588000,2014,0.775,0.469,0.182,1073.126
KR7058470006,2014,1.826,13.255,7.6,93421.913
TW0002472008,2014,0.392,37.474,1.03,6071.95
TW0002369006,2014,1.859,59.258,16.754,5935.929
TW0004979000,2014,0.039,4.509,0.512,3015.222
US55405Y1001,2014,9.34,11.723,1.746,339.189
TW0002337003,2014,181,261,3.804,22414.213
US55933J2033,2014,17.567,21.72,3.593,698.218
MYL3867OO008,2014,0.005,0.242,2.049,1291.84
US5738741041,2014,7.252,28.843,17.52,3404.4
US57776J1007,2014,2.147,1.304,0.685,133.112
CNE100003QK4,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003527008,2014,0.062,1.317,0.364,2147.221
TW0002454006,2014,0.311,24.757,36.159,213062.916
JP3920860008,2014,7.205,4.498,3.004,58469.703
BE0165385973,2014,0.563,11.551,2.273,332.407655
JP3750400008,2014,4.233,11.945,24.394,29159
JP3910570005,2014,1.548,7.129,7.238,8357.462
TW0002464005,2014,149.877,339.421,1.165,6863.936
US55306N1046,2014,2.124,24.662,66.833,780.869
CNE100001X19,2014,23.294,53.562,3.319,3974.06316
CNE100003MN7,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002434008,2014,0.121,4.596,0.044,256.364
DE0006627201,2014,6.603,9.862,26.207,230.486486
SE0000375115,2014,1.067,2.403,18.444,1475.004
US63010N1054,2014,0.369,0.36,0.051,9.950477
TW0002408002,2014,52.27,212.758,8.334,49107.622
CNE1000040F5,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100000ML7,2014,4.772,34.971,13.293,956.9546105
US64118P1093,2014,0.572,0.664,0.099,19.195
TW0003317004,2014,1.293,1.102,0.402,2366.018
JP3686200001,2014,3.059,7.365,1.401,27275
JP3725200004,2014,4.663,13.688,1.005,20634
JP3701200002,2014,47.666,517.546,5.855,113962
NO0003055501,2014,0.009,1.134,34.393,167.029
IL0010845571,2014,18.184,3.061,10.324,120.618
TW0003034005,2014,0.46,13.903,9.176,54066.982
TW0004919006,2014,27.2,42.5,1.158,6821.877
US6294452064,2014,0.612,0.338,0.133,25.934907
JP3193600008,2014,2.959,3.75,0.66,12852.541
US6833441057,2014,3.686,4.45,14.245,166.443
TW0002329000,2014,1,77.738,2.347,13831.273
JP3200400004,2014,4.517,13.089,26.496,31011.064
DE000LED4000,2014,233.891,386.271,35.909,5142.1
US68989M2026,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002481009,2014,1.206,21.689,2.941,17330.551
US7013543001,2014,0,0,0,0
US71360T2006,2014,0.111,0.082,0.028,5.38
TW0008299009,2014,0.144,4.551,0.014,32819.532
US7194051022,2014,49.441,40.356,2.344,455.527
CNE100005998,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US72581M3051,2014,1.19,0.775,0.314,60.923
US7392761034,2014,7.738,10.448,1.795,348.797
TW0006770001,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006239007,2014,18.642,329.797,113.011,40039.445
TW0006173008,2014,1.116,22.703,0.427,2513.665
DE0007461006,2014,0.419,2.311,8.173,71.88
US74837P4054,2014,0.555,0.349,0.143,27.845
US7509171069,2014,1.714,1.325,1.526,296.558
TW0002379005,2014,0.79,21.392,5.306,31263.298
TW0002302007,2014,0.673,1.807,0.104,614.311
JP3164720009,2014,235.091,793.838,42.795,833011
US7631651079,2014,2.246,3.621,11.808,137.96
TW0004968003,2014,0.033,0.401,0.235,1382.499
TW0008104001,2014,0.003,4.435,0.152,895.104
ES0105225009,2014,0.086,0.057,0.016,2.28993401
CNE100003RK2,2014,2.621,3.764,14.109,1015.6541
JP3982800009,2014,143.622,523.336,17.009,331087
JP3982200002,2014,2.023,8.179,12.182,14166.717
JP3976200000,2014,0.59,1.058,11.547,224766
JP3975410006,2014,0.142,2.137,12.248,#N/A N/A
JP3322950001,2014,0.948,3.54,3.58,4233.049
CNE000000KB3,2014,52.77,110.043,3.812,4563.409043
JP3329600005,2014,58.081,107.114,7.422,144467
DE0005156236,2014,5.642,4.359,12.532,110.217177
TW0003583001,2014,0.652,9.268,7.668,2716.658
JP3494600004,2014,12.309,41.501,201.596,235946
TW0002351004,2014,0.986,26.416,27.654,9797.857
JP3418400002,2014,4.456,4.085,1.089,21195.455
US8168501018,2014,0.808,9.288,3.062,594.977
CH0406705126,2014,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7046890000,2014,67,75.347,4.594,939312.598
US8173232070,2014,0.549,0.232,0.116,22.602
CNE100002NT4,2014,1.419,1.272,0.271,324.2648797
CNE000000XB6,2014,1.816,3.026,0.39,466.3822004
CNE100000510,2014,0.181,5.902,0.705,843.913
CNE100002G84,2014,2.52,1.938,0.704,843.2737203
CNE100000Q50,2014,13.594,14.409,5.897,7060.56478
JP3355000005,2014,0.579,5.093,30.045,35164
JP3371600002,2014,3.266,62.621,130.1,67332
JP3375800004,2014,32.996,101.078,4.602,140412
KYG811801045,2014,3.088,10.772,15.174,5376.274
TW0006257009,2014,0.185,56.275,14.757,5228.447
TW0002363009,2014,0.632,2.014,0.073,432.323
US8269191024,2014,0.134,3.357,3.194,620.704
US82706C1080,2014,3.963,2.578,1.489,289.323
TW0003530002,2014,0.003,0.096,0.063,369.468
TW0003288007,2014,0.564,0.242,0.065,385.292
