Isin,Year,SR001,SR002,SR003,SR004
TW0002466000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
MYL7204OO000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3487600003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000000X87,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003094009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7000990002,2018,2.269999981,1.21191752,1.624035358,4.862206459
US2545431015,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3548600000,2018,3.470000029,3.546011686,2.13533473,4.911419392
CNE100001RT7,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003048005,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002458007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003450003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003006003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DE0005677108,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003529004,2018,2.319999933,1.041684866,1.821620584,5.19979763
TW0003714002,2018,4.230000019,2.581758022,6.208173752,4.835800171
US29362U1043,2018,2,0,1.624035358,6.935403824
KR7039030002,2018,1.120000005,0,0.857391536,3.666563034
TW0003016002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0005351001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KR7084370006,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002393006,2018,3.720000029,3.449893475,3.559706926,4.252391815
TW0006288004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003035002,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0004961008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003545000,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US3463751087,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0008131004,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003532008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003413001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE100004PM0,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
KYG3790U1040,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0004952007,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE1000030S9,2018,0.899999976,0,0,4.109435558
TW0008081001,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003443008,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0006488000,2018,3.25999999,2.772105932,2.648808479,4.674059868
KYG393871085,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0003188009,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
TW0002441003,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CNE000000YF5,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
US36241U1060,2018,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
JP3771800004,2018,2.200000048,1.609333158,1.833145976,3.500463247
