ISIN,BI350,BI493,EG056,EG057,ES018,ES019,ES096,F1754,F1769,RX262,ES643,IS010,EG017,EG018,EG030,SR001,SR002,SR003,SR004,SR205,SR217,SR238,SR200,SR211,SR711,SR731,SR727,SR718,SR715,SR005,SR035,SR064,SR084,BI588,BI589,BI590,SR208,SR235,SR231,SR249,ST024,SR752,SR754,SR756,SR760,SR724,SR721,Year
US01749D1054,0,#N/A N/A,136.905,26.07,#N/A N/A,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,1049.367,0.508,48.812,83.136,3.079999924,2.928681135,1.624035358,5.112923622,3.120775223,5.454451561,1.5,2.663612366,0,3,0,3,0,10,5.438482285,6.068507671,1.896954298,9.792127609,11.764706,-44.117647,-32.352941,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
BMG6331P1041,0,#N/A N/A,108.969,79.709,#N/A N/A,#N/A N/A,33.33330154,30,#N/A N/A,#N/A N/A,#N/A N/A,691.321,28.981,37.458,5.586,1.980000019,0.041486021,1.103526831,7.667980194,0,0,0,0.342395991,0,3,0,1.097493768,0,0,6.106594086,8.328053474,8.004261971,9.980111122,5.8824,-44.1176,-38.2353,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
GB00BNDRMJ14,0,100,16.614,3.906,#N/A N/A,#N/A N/A,40,80,#N/A N/A,17.67300579,#N/A N/A,321.724,0.379,1.112,3.453,2.950000048,1.517761469,2.037423372,6.636168003,6.081971645,0,0,1.849324107,0,3,0,1.097493768,5.105708599,10,6.838038445,4.89778614,7.748560429,7.472986698,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
KYG037AX1015,0,#N/A N/A,32.632,3.458,#N/A N/A,#N/A N/A,22.22220039,70,#N/A N/A,#N/A N/A,#N/A N/A,226.474,3.332,2.499,0.996,2.029999971,0,2.346524477,5.953999996,0,0,0,0,0,3,0,3,4.457098961,10,6.232953072,5.841841698,3.939138651,9.462891579,5.8824,-44.1176,-38.2353,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
US0316521006,0,100,322.695,223.963,#N/A N/A,#N/A N/A,18.18180084,30,#N/A N/A,300.7320477,#N/A N/A,6503.065,67.333,993.24,880.026,5.28000021,3.841600418,6.516164303,6.180396557,4.341190815,5.121629238,1.5,3.350774765,3.817467451,10,6.520907879,7.949489594,0,10,5.36813736,7.716303349,5.098236561,7.630759239,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
CNE100003LZ3,0,#N/A N/A,38.469,8.102,#N/A N/A,#N/A N/A,20,60,#N/A N/A,#N/A N/A,#N/A N/A,5370.943247,8.852,11.305,6.848,2.789999962,2.922328234,1.103526831,4.742077827,6.524680138,5.056744576,0,0.342395991,0,3,0,1.097493768,0,0,4.605224609,1.844119906,7.086885929,7.382537842,11.7647,-18.0349,-6.2702,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0002493004,0,#N/A N/A,73.527,26.788,#N/A N/A,#N/A N/A,25,30,#N/A N/A,#N/A N/A,#N/A N/A,3354.285,1.908,4.598,0.817,1.720000029,0.688950539,0.857391536,4.756208897,0,3,0,0,0,3,0,0,0,0,3.788053513,4.11853075,7.377765179,4.274916172,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
AT0000A18XM4,0,#N/A N/A,202.873,147.99,#N/A N/A,#N/A N/A,41.66669846,10,#N/A N/A,#N/A N/A,100,3590,57.256,276.769,394.29,6.079999924,5.197561264,5.994427204,7.438245296,5.78798151,5.763935089,1.5,8.809595108,4.980488777,10,3,7.949489594,1.579926848,10,6.545043945,8.420575142,6.664523602,9.39675808,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
US0323325045,0,#N/A N/A,116.935,100.764,#N/A N/A,#N/A N/A,20,10,#N/A N/A,#N/A N/A,#N/A N/A,113.315,4.276,7.348,0.797,2.220000029,0,2.275140762,7.032626629,0,0,0,0,0,3,0,3,5.788230419,0,5.665424347,8.380083084,6.248436928,9.729994774,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
US0326541051,0,#N/A N/A,124.38,17.312,#N/A N/A,#N/A N/A,33.33330154,60,#N/A N/A,#N/A N/A,50,12305.539,171.939,242.201,1012.425,4.949999809,5.683461189,2.170627594,7.42705822,6.864944458,7.071744442,1.5,5.885277748,6.379472256,3,0,3,3.101653099,10,7.126816273,8.48470974,7.02905798,7.103319168,8.1459,-28.2728,-20.1269,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0006291008,0,#N/A N/A,32.758,7.74,#N/A N/A,#N/A N/A,0,50,#N/A N/A,#N/A N/A,#N/A N/A,2168.271,1.259,0.799,0.052,2.609999895,0.74273932,3.781181335,4.703807354,0,3,0,0.342395991,0,10,3,1.097493768,0,0,2.860860348,4.107590675,7.377765179,6.535326004,5.8824,-44.1176,-38.2353,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0006533003,0,#N/A N/A,55.987,2.437,#N/A N/A,#N/A N/A,0,40,#N/A N/A,#N/A N/A,#N/A N/A,1057.818,0.738,0.815,0.205,1.809999943,0.74273932,0.857391536,5.08893919,0,3,0,0.342395991,0,3,0,0,0,0,3.587029696,4.623229504,7.377765179,6.164391518,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0006138001,0,#N/A N/A,7.347,2.266,#N/A N/A,#N/A N/A,9.090909958,70,#N/A N/A,#N/A N/A,#N/A N/A,5416.25,0.004,1.109,0.069,3.799999952,3.061780214,3.781181335,4.886619568,5.7722826,6.389081001,0,0.342395991,0,10,3,1.097493768,0,0,3.967530012,3.970756054,7.377765179,4.932163715,7.2858,-31.2387,-23.9529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
JP3105280006,0,#N/A N/A,98.117,163.531,#N/A N/A,#N/A N/A,12.5,30,#N/A N/A,#N/A N/A,#N/A N/A,33941.324,6.018,17.849,2.077,1.159999967,0,0.743280947,4.063437939,0,0,0,0,0,0,3,0,0,10,3.263403893,0,8.697329521,9.998077393,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0006531007,0,#N/A N/A,8.137,0.453,#N/A N/A,#N/A N/A,25,30,#N/A N/A,#N/A N/A,#N/A N/A,4226.907,0.015,0.36,0.646,2.75999999,2.506683588,1.103526831,5.338013172,5.238260746,3,0,2.843432665,0,3,0,1.097493768,0,0,4.571528912,4.192453861,7.377765179,6.041668415,8.8235,-23.5294,-14.7059,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0008271008,0,#N/A N/A,10.106,9.84,#N/A N/A,#N/A N/A,11.1111002,40,#N/A N/A,#N/A N/A,3,7631.446,0.133,1.769,0.389,4.630000114,6.094804287,2.89436245,4.669382572,8.091365814,8.104336739,1.5,2.620194674,9.386087418,3,3,3,1.579926848,10,3.014785767,4.721523762,7.377765179,4.711979866,9.8797,-30.9229,-21.0431,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
TW0006449002,0,#N/A N/A,181.361,71.922,#N/A N/A,#N/A N/A,0,40,#N/A N/A,#N/A N/A,#N/A N/A,2934.913,0.234,11.147,0.35,2.089999914,0.816524804,1.628763676,4.936602592,0,3.377773523,0,0.342395991,0,3,3,0,0,0,2.898930073,5.363122463,7.377765179,5.806267738,11.7647,-44.1176,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
US0382221051,0,#N/A N/A,1093.602,247.846,#N/A N/A,#N/A N/A,30,40,#N/A N/A,#N/A N/A,50,26517,65.47,174.311,26790.078,6.539999962,6.709631443,4.497162342,8.633616447,7.432627201,8.722904205,1.5,6.735132217,9.528791428,7.392361641,3,3,2.601724863,10,8.792739868,8.64541626,8.098373413,9.149185181,11.5706,-43.9235,-32.3529,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,#N/A Field Not Applicable,2023
